carparkID,processing-time,slotOccupancy
1,1583578800,122
1,1583578800,111
1,1583578800,109
1,1583578800,113
1,1583578800,105
1,1583578800,106
1,1583578800,98
1,1583578800,113
1,1583578800,111
1,1583578800,105
1,1583578800,99
1,1583578800,90
1,1583233200,109
1,1583233200,105
1,1583233200,114
1,1583233200,101
1,1583233200,98
1,1583233200,95
1,1583233200,117
1,1583233200,109
1,1583233200,102
1,1583233200,104
1,1583233200,92
1,1583233200,75
1,1585566000,108
1,1585566000,100
1,1585566000,102
1,1585566000,106
1,1585566000,102
1,1585566000,103
1,1585566000,101
1,1585566000,101
1,1585566000,112
1,1585566000,106
1,1585566000,105
1,1585998000,110
1,1585998000,105
1,1585998000,101
1,1585998000,106
1,1585998000,118
1,1585998000,109
1,1585998000,117
1,1585998000,105
1,1585998000,104
1,1585998000,105
1,1585998000,113
1,1587384000,109
1,1587384000,116
1,1587384000,117
1,1587384000,107
1,1587384000,107
1,1587384000,101
1,1587384000,107
1,1587384000,104
1,1587384000,105
1,1587384000,105
1,1587384000,113
1,1587729600,106
1,1587729600,107
1,1587729600,106
1,1587729600,106
1,1587729600,108
1,1587729600,102
1,1587729600,102
1,1587729600,104
1,1587729600,113
1,1587729600,104
1,1587729600,108
1,1587643200,106
1,1587643200,105
1,1587643200,105
1,1587643200,110
1,1587643200,111
1,1587643200,110
1,1587643200,102
1,1587643200,102
1,1587643200,114
1,1587643200,101
1,1587643200,107
1,1583665200,106
1,1583665200,108
1,1583665200,106
1,1583665200,100
1,1583665200,112
1,1583665200,106
1,1583665200,105
1,1583665200,103
1,1583665200,116
1,1583665200,112
1,1583665200,103
1,1583578800,101
1,1583578800,108
1,1583578800,107
1,1583578800,110
1,1583578800,101
1,1583578800,110
1,1583578800,100
1,1583578800,110
1,1583578800,112
1,1583578800,103
1,1583578800,118
1,1583665200,102
1,1583665200,107
1,1583665200,103
1,1583665200,107
1,1583665200,113
1,1583665200,103
1,1583665200,106
1,1583665200,108
1,1583665200,104
1,1583665200,111
1,1583665200,112
1,1583319600,107
1,1583319600,111
1,1583319600,114
1,1583319600,108
1,1583319600,121
1,1583319600,104
1,1583319600,105
1,1583319600,116
1,1583319600,110
1,1583319600,100
1,1583319600,109
1,1587643200,114
1,1587643200,112
1,1587643200,117
1,1587643200,101
1,1587643200,107
1,1587643200,101
1,1587643200,109
1,1587643200,112
1,1587643200,109
1,1587643200,107
1,1587643200,114
1,1583838000,107
1,1583838000,105
1,1583838000,100
1,1583838000,108
1,1583838000,108
1,1583838000,115
1,1583838000,105
1,1583838000,113
1,1583838000,104
1,1583838000,105
1,1583838000,112
1,1585479600,103
1,1585479600,112
1,1585479600,119
1,1585479600,108
1,1585479600,106
1,1585479600,108
1,1585479600,101
1,1585479600,105
1,1585479600,101
1,1585479600,106
1,1585479600,102
1,1583578800,120
1,1583578800,100
1,1583578800,106
1,1583578800,115
1,1583578800,111
1,1583578800,113
1,1583578800,102
1,1583578800,107
1,1583578800,104
1,1583578800,106
1,1583578800,109
1,1583665200,102
1,1583665200,110
1,1583665200,112
